Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779729584,9.19,9.19,0.00,19.56,0.00
1779729585,15.15,15.15,0.00,31.17,0.00
1779729586,18.19,18.19,0.00,35.32,0.00
1779729587,20.92,20.92,0.00,56.19,0.00
1779729588,12.72,12.72,0.00,35.81,0.00
1779729589,17.32,17.32,0.00,58.74,0.00
1779729590,12.34,12.34,0.00,32.18,0.00
1779729591,11.27,11.27,0.00,46.19,0.00
1779729592,15.45,15.45,0.00,52.93,0.00
1779729593,12.49,12.49,0.00,47.83,0.00
1779729594,12.81,12.81,0.00,52.92,0.52
1779729595,9.33,9.33,0.00,40.26,0.12
1779729596,17.42,17.42,0.00,72.10,2.32
1779729597,11.51,11.51,0.00,80.62,1.25
1779729598,12.05,12.05,0.00,76.43,0.96
1779729599,11.30,11.30,0.00,81.03,1.12
1779729600,11.47,11.47,0.00,82.90,0.87
1779729601,11.18,11.18,0.00,62.78,0.69
1779729602,11.06,11.06,0.00,55.10,0.34
1779729603,11.89,11.89,0.00,58.37,0.60
1779729604,11.37,11.37,0.00,48.57,0.69
1779729605,10.31,10.31,0.00,36.08,0.57
1779729606,10.97,10.97,0.00,27.23,0.88
1779729607,10.42,10.42,0.00,25.57,0.57
1779729608,10.65,10.65,0.00,45.35,0.45
1779729609,9.13,9.13,0.00,30.06,0.19
1779729610,14.15,14.15,0.00,31.82,1.46
1779729611,9.62,9.62,0.00,20.81,0.33
1779729612,10.87,10.87,0.00,43.31,0.30
1779729613,9.65,9.65,0.00,28.78,0.23
1779729614,9.06,9.06,0.00,25.73,0.11
1779729615,10.15,10.15,0.00,26.21,0.36
1779729616,11.44,11.44,0.00,40.04,0.23
1779729617,9.02,9.02,0.00,20.23,0.15
1779729618,8.91,8.91,0.00,21.55,0.13
1779729619,8.95,8.95,0.00,20.20,0.17
1779729620,10.33,10.33,0.00,40.22,0.23
1779729621,9.20,9.20,0.00,20.17,0.18
1779729622,9.80,9.80,0.00,24.33,0.15
1779729623,9.65,9.65,0.00,23.94,0.23
1779729624,10.07,10.07,0.00,38.72,0.19
1779729625,8.74,8.74,0.00,18.51,0.12
1779729626,8.99,8.99,0.00,19.33,0.18
1779729627,9.84,9.84,0.00,25.55,0.35
1779729628,11.59,11.59,0.00,40.05,0.19
1779729629,11.25,11.25,0.00,26.83,0.63
1779729630,10.65,10.65,0.00,28.75,0.35
1779729631,13.77,13.77,0.00,32.18,1.49
1779729632,11.43,11.43,0.00,51.60,0.33
1779729633,7.17,7.17,0.00,22.50,0.00
1779729634,10.39,10.39,0.00,24.88,0.45
1779729635,9.98,9.98,0.00,19.71,0.29
1779729636,11.56,11.56,0.00,35.88,0.12
1779729637,8.52,8.52,0.00,18.35,0.04
1779729638,8.24,8.24,0.00,18.00,0.05
1779729639,10.17,10.17,0.00,30.01,0.16
1779729640,11.90,11.90,0.00,41.86,0.28
1779729641,7.98,7.98,0.00,17.65,0.01
1779729642,8.42,8.42,0.00,20.32,0.05
1779729643,8.70,8.70,0.00,17.20,0.12
1779729644,10.56,10.56,0.00,42.52,0.11
1779729645,9.77,9.77,0.00,21.09,0.39
1779729646,8.89,8.89,0.00,18.65,0.14
1779729647,9.36,9.36,0.00,20.54,0.17
1779729648,8.97,8.97,0.00,37.44,0.04
1779729649,8.03,8.03,0.00,19.22,0.02
1779729650,8.95,8.95,0.00,18.70,0.11
1779729651,9.18,9.18,0.00,22.04,0.17
1779729652,9.54,9.54,0.00,38.69,0.10
1779729653,9.17,9.17,0.00,19.72,0.14
1779729654,8.88,8.88,0.00,22.00,0.08
1779729655,9.04,9.04,0.00,23.44,0.14
1779729656,9.39,9.39,0.00,40.53,0.09
1779729657,8.87,8.87,0.00,22.82,0.09
1779729658,8.91,8.91,0.00,23.00,0.08
1779729659,9.46,9.46,0.00,25.89,0.07
1779729660,11.72,11.72,0.00,43.89,0.12
1779729661,10.44,10.44,0.00,34.43,0.17
1779729662,12.73,12.73,0.00,38.10,0.08
