Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779777413,13.74,13.74,0.00,30.98,0.04
1779777414,19.64,19.64,0.00,41.48,0.03
1779777415,15.37,15.37,0.00,61.09,0.02
1779777416,14.71,14.71,0.00,47.28,0.00
1779777417,17.48,17.48,0.00,52.94,0.00
1779777418,13.35,13.35,0.00,40.53,0.00
1779777419,12.77,12.77,0.00,51.48,0.02
1779777420,14.26,14.26,0.00,41.59,0.03
1779777421,10.97,10.97,0.00,30.21,0.00
1779777422,8.95,8.95,0.00,25.35,0.03
1779777423,8.26,8.26,0.00,35.50,0.02
1779777424,7.30,7.30,0.00,25.14,0.09
1779777425,7.62,7.62,0.00,27.19,0.13
1779777426,7.55,7.55,0.00,18.24,0.19
1779777427,10.31,10.31,0.00,31.55,0.36
1779777428,10.05,10.05,0.00,25.65,0.29
1779777429,9.64,9.64,0.00,19.95,0.84
1779777430,9.86,9.86,0.00,23.05,0.36
1779777431,8.74,8.74,0.00,32.39,0.22
1779777432,9.03,9.03,0.00,31.68,0.24
1779777433,10.15,10.15,0.00,26.63,0.12
1779777434,9.29,9.29,0.00,19.98,0.14
1779777435,11.63,11.63,0.00,36.31,0.74
1779777436,10.31,10.31,0.00,29.79,0.32
1779777437,9.93,9.93,0.00,18.83,0.89
1779777438,8.71,8.71,0.00,17.43,0.35
1779777439,9.97,9.97,0.00,29.02,0.15
1779777440,10.03,10.03,0.00,31.56,0.35
1779777441,9.00,9.00,0.00,28.74,0.29
1779777442,9.60,9.60,0.00,24.28,0.28
1779777443,9.38,9.38,0.00,36.18,0.18
1779777444,10.58,10.58,0.00,32.58,0.25
1779777445,10.42,10.42,0.00,22.58,0.72
1779777446,10.35,10.35,0.00,22.46,0.25
1779777447,10.46,10.46,0.00,28.69,0.23
1779777448,11.30,11.30,0.00,43.33,0.74
1779777449,10.38,10.38,0.00,26.43,0.36
1779777450,9.89,9.89,0.00,33.36,0.10
1779777451,10.89,10.89,0.00,32.17,0.13
1779777452,10.31,10.31,0.00,26.32,0.24
1779777453,9.97,9.97,0.00,42.53,0.15
1779777454,10.20,10.20,0.00,33.59,0.10
1779777455,10.49,10.49,0.00,28.82,0.24
1779777456,9.86,9.86,0.00,32.46,0.12
1779777457,12.46,12.46,0.00,34.68,0.42
1779777458,10.04,10.04,0.00,38.35,0.18
1779777459,11.09,11.09,0.00,34.62,0.20
1779777460,9.87,9.87,0.00,33.99,0.20
1779777461,11.18,11.18,0.00,33.41,0.29
1779777462,10.75,10.75,0.00,42.11,0.22
1779777463,10.91,10.91,0.00,38.63,0.17
1779777464,10.82,10.82,0.00,35.67,0.12
1779777465,10.02,10.02,0.00,32.92,0.14
1779777466,9.64,9.64,0.00,22.16,0.24
1779777467,10.44,10.44,0.00,38.71,0.23
1779777468,10.93,10.93,0.00,33.93,0.25
1779777469,9.16,9.16,0.00,36.14,0.14
1779777470,9.93,9.93,0.00,32.37,0.12
1779777471,9.44,9.44,0.00,32.27,0.23
1779777472,10.23,10.23,0.00,42.11,0.12
1779777473,9.35,9.35,0.00,18.12,0.32
1779777474,9.72,9.72,0.00,30.66,0.17
1779777475,10.80,10.80,0.00,33.07,0.29
1779777476,10.37,10.37,0.00,31.88,0.27
1779777477,12.60,12.60,0.00,30.74,1.35
1779777478,11.08,11.08,0.00,27.11,0.16
1779777479,10.32,10.32,0.00,34.87,0.21
1779777480,10.19,10.19,0.00,33.36,0.12
1779777481,10.08,10.08,0.00,31.16,0.43
1779777482,10.01,10.01,0.00,23.37,0.52
1779777483,8.41,8.41,0.00,18.68,0.24
1779777484,10.17,10.17,0.00,40.88,0.29
1779777485,9.24,9.24,0.00,23.06,0.22
1779777486,9.04,9.04,0.00,20.58,0.07
1779777487,9.14,9.14,0.00,20.28,0.18
1779777488,10.34,10.34,0.00,36.00,0.09
1779777489,11.00,11.00,0.00,39.74,0.15
