Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779777647,16.13,16.13,0.00,38.95,0.00
1779777648,15.74,15.74,0.00,40.89,0.03
1779777649,13.59,13.59,0.00,44.92,0.00
1779777650,16.15,16.15,0.00,56.04,0.00
1779777651,15.10,15.10,0.00,48.92,0.00
1779777652,14.02,14.02,0.00,47.48,0.00
1779777653,10.68,10.68,0.00,35.14,0.00
1779777654,13.65,13.65,0.00,54.57,0.00
1779777655,12.14,12.14,0.00,37.48,0.00
1779777656,10.85,10.85,0.00,37.08,0.02
1779777657,9.44,9.44,0.00,33.18,0.07
1779777658,9.74,9.74,0.00,40.11,0.08
1779777659,9.06,9.06,0.00,31.70,0.06
1779777660,9.06,9.06,0.00,29.52,0.15
1779777661,9.26,9.26,0.00,25.84,0.19
1779777662,9.64,9.64,0.00,34.94,0.15
1779777663,11.31,11.31,0.00,33.49,0.18
1779777664,9.59,9.59,0.00,20.45,0.29
1779777665,10.52,10.52,0.00,23.36,1.36
1779777666,9.02,9.02,0.00,26.17,0.24
1779777667,10.24,10.24,0.00,31.87,0.18
1779777668,9.13,9.13,0.00,17.94,0.20
1779777669,9.10,9.10,0.00,19.06,0.18
1779777670,9.39,9.39,0.00,31.49,0.16
1779777671,10.38,10.38,0.00,32.01,0.43
1779777672,8.48,8.48,0.00,17.34,0.19
1779777673,10.26,10.26,0.00,20.89,1.21
1779777674,8.77,8.77,0.00,27.81,0.33
1779777675,9.17,9.17,0.00,28.10,0.14
1779777676,8.46,8.46,0.00,18.60,0.22
1779777677,8.42,8.42,0.00,17.62,0.18
1779777678,11.06,11.06,0.00,32.45,0.69
1779777679,9.73,9.73,0.00,27.64,0.19
1779777680,9.63,9.63,0.00,25.42,0.24
1779777681,8.63,8.63,0.00,18.22,0.22
1779777682,9.47,9.47,0.00,28.24,0.10
1779777683,8.75,8.75,0.00,26.13,0.18
1779777684,9.16,9.16,0.00,17.95,0.20
1779777685,8.71,8.71,0.00,18.60,0.18
1779777686,10.04,10.04,0.00,34.79,0.18
1779777687,10.50,10.50,0.00,30.09,0.11
1779777688,9.64,9.64,0.00,24.84,0.15
1779777689,9.57,9.57,0.00,22.93,0.20
1779777690,9.02,9.02,0.00,27.09,0.10
1779777691,9.42,9.42,0.00,30.06,0.39
1779777692,9.68,9.68,0.00,24.38,0.23
1779777693,8.88,8.88,0.00,20.98,0.19
1779777694,8.64,8.64,0.00,28.44,0.14
1779777695,11.24,11.24,0.00,29.34,0.80
1779777696,8.86,8.86,0.00,18.65,0.51
1779777697,8.48,8.48,0.00,16.03,0.21
1779777698,9.04,9.04,0.00,31.07,0.09
1779777699,9.47,9.47,0.00,26.59,0.23
1779777700,9.63,9.63,0.00,21.15,0.21
1779777701,8.26,8.26,0.00,21.10,0.19
1779777702,8.91,8.91,0.00,29.31,0.09
1779777703,9.75,9.75,0.00,26.06,0.27
1779777704,8.48,8.48,0.00,17.16,0.42
1779777705,7.92,7.92,0.00,17.31,0.21
1779777706,9.19,9.19,0.00,30.34,0.18
1779777707,9.48,9.48,0.00,23.66,0.25
1779777708,8.83,8.83,0.00,17.44,0.23
1779777709,8.86,8.86,0.00,19.49,0.22
1779777710,8.68,8.68,0.00,32.56,0.14
1779777711,9.00,9.00,0.00,23.41,0.33
1779777712,8.10,8.10,0.00,17.35,0.44
1779777713,7.94,7.94,0.00,16.06,0.15
1779777714,9.48,9.48,0.00,38.42,0.15
1779777715,8.63,8.63,0.00,24.07,0.17
1779777716,9.72,9.72,0.00,24.53,0.28
1779777717,9.63,9.63,0.00,24.98,0.12
1779777718,10.39,10.39,0.00,34.87,0.14
1779777719,9.36,9.36,0.00,31.81,0.12
1779777720,8.47,8.47,0.00,20.06,0.23
1779777721,8.19,8.19,0.00,20.45,0.18
1779777722,9.54,9.54,0.00,36.73,0.13
1779777723,9.40,9.40,0.00,25.67,0.00
