Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1779778546,17.16,17.16,0.00,37.44,0.22
1779778547,17.86,17.86,0.00,39.66,0.18
1779778548,15.62,15.62,0.00,59.61,0.25
1779778549,10.96,10.96,0.00,59.61,0.24
1779778550,9.86,9.86,0.00,48.28,0.15
1779778551,10.55,10.55,0.00,37.45,0.11
1779778552,13.11,13.11,0.00,49.61,0.26
1779778553,11.66,11.66,0.00,52.60,0.32
1779778554,12.02,12.02,0.00,47.97,0.06
1779778555,12.05,12.05,0.00,48.63,0.22
1779778556,12.38,12.38,0.00,45.34,0.32
1779778557,12.04,12.04,0.00,49.96,0.16
1779778558,14.29,14.29,0.00,53.30,0.33
1779778559,11.53,11.53,0.00,48.04,0.02
1779778560,12.17,12.17,0.00,53.06,0.46
1779778561,10.33,10.33,0.00,52.21,0.45
1779778562,10.21,10.21,0.00,46.67,0.24
1779778563,13.08,13.08,0.00,55.27,0.36
1779778564,12.24,12.24,0.00,56.80,0.27
1779778565,12.35,12.35,0.00,57.29,0.38
1779778566,11.83,11.83,0.00,47.94,0.50
1779778567,10.13,10.13,0.00,45.55,0.38
1779778568,11.73,11.73,0.00,44.78,0.32
1779778569,14.70,14.70,0.00,52.30,0.31
1779778570,12.00,12.00,0.00,56.39,0.27
1779778571,12.35,12.35,0.00,56.32,0.12
1779778572,11.61,11.61,0.00,52.99,0.14
1779778573,11.75,11.75,0.00,49.19,0.30
1779778574,12.09,12.09,0.00,39.77,0.31
1779778575,12.50,12.50,0.00,49.49,0.93
1779778576,11.31,11.31,0.00,31.95,0.78
1779778577,11.86,11.86,0.00,30.13,0.49
1779778578,12.11,12.11,0.00,27.00,0.52
1779778579,11.52,11.52,0.00,32.50,0.50
1779778580,11.17,11.17,0.00,45.76,0.21
1779778581,9.40,9.40,0.00,33.31,0.50
1779778582,9.98,9.98,0.00,28.35,0.41
1779778583,10.29,10.29,0.00,27.02,0.51
1779778584,11.37,11.37,0.00,35.20,0.33
1779778585,10.26,10.26,0.00,28.02,0.37
1779778586,10.20,10.20,0.00,20.47,0.47
1779778587,10.34,10.34,0.00,21.19,0.42
1779778588,10.29,10.29,0.00,30.95,0.26
1779778589,13.13,13.13,0.00,28.72,1.38
1779778590,9.37,9.37,0.00,18.41,0.52
1779778591,10.56,10.56,0.00,25.93,0.42
1779778592,10.45,10.45,0.00,34.03,0.28
1779778593,11.27,11.27,0.00,29.26,0.39
1779778594,11.17,11.17,0.00,26.52,0.36
1779778595,11.03,11.03,0.00,24.96,0.21
1779778596,12.04,12.04,0.00,32.47,0.32
1779778597,9.99,9.99,0.00,32.99,0.38
1779778598,10.33,10.33,0.00,29.36,0.36
1779778599,11.10,11.10,0.00,31.62,0.41
1779778600,11.84,11.84,0.00,34.68,0.32
1779778601,10.41,10.41,0.00,34.51,0.47
1779778602,10.66,10.66,0.00,33.36,0.27
1779778603,10.96,10.96,0.00,25.59,0.54
1779778604,10.11,10.11,0.00,27.22,0.46
1779778605,11.90,11.90,0.00,42.97,0.39
1779778606,10.34,10.34,0.00,26.69,0.48
1779778607,11.20,11.20,0.00,26.93,0.65
1779778608,10.26,10.26,0.00,23.78,0.51
1779778609,13.93,13.93,0.00,45.87,0.40
1779778610,13.14,13.14,0.00,41.47,0.27
1779778611,9.84,9.84,0.00,30.91,0.37
1779778612,8.12,8.12,0.00,24.29,0.42
1779778613,8.90,8.90,0.00,33.92,0.32
1779778614,10.62,10.62,0.00,25.96,0.49
1779778615,11.75,11.75,0.00,28.27,1.15
1779778616,9.96,9.96,0.00,24.34,0.39
1779778617,10.45,10.45,0.00,30.93,0.33
1779778618,10.71,10.71,0.00,28.04,0.33
1779778619,9.07,9.07,0.00,18.08,0.55
1779778620,9.82,9.82,0.00,22.20,0.35
1779778621,11.16,11.16,0.00,36.77,0.35
1779778622,9.05,9.05,0.00,24.61,0.32
1779778623,11.09,11.09,0.00,24.38,0.60
1779778624,10.08,10.08,0.00,23.84,0.16
1779778625,12.32,12.32,0.00,33.18,0.47
1779778626,9.79,9.79,0.00,28.60,0.42
1779778627,10.57,10.57,0.00,20.77,0.56
1779778628,10.00,10.00,0.00,26.06,0.37
1779778629,11.14,11.14,0.00,28.08,0.53
1779778630,10.64,10.64,0.00,39.76,0.38
1779778631,8.83,8.83,0.00,17.66,0.34
1779778632,9.86,9.86,0.00,20.92,0.78
1779778633,9.16,9.16,0.00,22.12,0.45
1779778634,10.51,10.51,0.00,38.06,0.24
1779778635,8.91,8.91,0.00,23.24,0.49
1779778636,10.88,10.88,0.00,28.91,0.49
1779778637,9.84,9.84,0.00,26.74,0.23
